type,hull_class,sig_radius,shield_em,shield_thermal,shield_kinetic,shield_exp,armor_em,armor_thermal,armor_kinetic,armor_exp,structure_em,structure_thermal,structure_kinetic,structure_exp,shield_hp,armor_hp,structure_hp,wpn_dmg_mod,Weapon Optimal,Weapon Falloff,Weapon Tracking,rof,dmg_multiplier_max,dm_mutiplier_per_cycle,max_combat_orbit_range,ammo_em,ammo_thermal,ammo_kinetic,ammo_exp,missile_type,missile_dmg,missile_dmg_bonus,missile_rof,base_missile_velocity,base_missile_time,missile_time_bonus,missile_velocity_bonus,Enemy Max Velocity,max_velocity_sig_radius_multiplier,Enemy Orbit Velocity,armor_dmg,shield_charge,item_damage,capacitor_cap,rr_type,rr_amount,rr_optimal,rr_falloff,rr_rof,local_rep_type,local_rep_strength,local_rep_duration,Primary EWAR,ewar1_strength,ewar1_rof,ewar1_optimal,ewar1_falloff,Secondary EWAR,ewar2_strength,ewar2_rof,ewar2_optimal,ewar2_falloff,Total Base HP,Weapon DPS,Total DPS,Remote Repair Per Second,Local Repair Per Second,GJ Neutralized Per Second,Missile DPS,Approximate Missile Range
Drifter Foothold Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,5.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,9569.0,3356.0,9290.0,,,,,,,,,,,,,,,,,,,,14497,100,100,,,,,
Drifter Assault Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,25.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,4404.0,31904.0,12224.0,,,,,,,,,,,,,,,,,,,,45276,500,500,,,,,
Drifter Command Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,30.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,3125.0,36800.0,10000.0,,,,,,,,,,,,,,,,,,,,53675,600,600,,,,,
Drifter Frontline Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,15.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,7528.0,16704.0,10832.0,,,,,,,,,,,,,,,,,,,,28344,300,300,,,,,
Drifter Rearguard Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,10.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,9112.0,8383.0,10018.0,,,,,,,,,,,,,,,,,,,,19253,200,200,,,,,
Drifter Vanguard Battleship,battleship,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,40000.0,10000,20000,20.0,60000,20000,2,5.0,,,,25.0,25.0,25.0,25.0,,,,,,,,,300,,,6230.0,25016.0,11644.0,,,,,,,,,,,,,,,,,,,,37142,400,400,,,,,
Drifter Entanglement Cruiser,cruiser,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,10000.0,5000,7500,2.0,6000,10000,50,5.0,,,7500.0,25.0,25.0,25.0,25.0,,,,,,,,,1000,,800,4257.0,2436.0,5208.0,,,,,,,,,,Stasis Webifier,50,5.0,10000.0,,,,,,,5471,40,40,,,,,
Drifter Nullwarp Cruiser,cruiser,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,10000.0,5000,7500,2.0,6000,10000,50,5.0,,,7500.0,25.0,25.0,25.0,25.0,,,,,,,,,1000,,800,4306.0,2982.0,5360.0,,,,,,,,,,Warp Scrambler,2,5.0,10000.0,,,,,,,5816,40,40,,,,,
Drifter Nullcharge Cruiser,cruiser,400,50.0,50.0,50.0,50.0,50,50,50,50,0,0,0,0,10000.0,5000,7500,2.0,6000,10000,50,5.0,,,7500.0,25.0,25.0,25.0,25.0,,,,,,,,,1000,,800,4015.0,2156.0,5312.0,,,,,,,,,,Energy Neutralizer,150,10.0,10000.0,,,,,,,5329,40,40,,,15,,
Devoted Fisher,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,320,,,,300.0,,,,,,Shield Booster,25.0,2.0,Stasis Webifier,50,5.0,10000.0,,,,,,,2525,27.588,27.588,,12.5,,,
