# retro_panel_v2 frames=3000 repeats=32 seed=20260907 deterministic=0 levels=1-1 frameskip=1
level	replicate	clear	progress	frames	clear_frames
1-1	0	0	0.257647059	3000	0
1-1	1	1	0.948823529	2029	2029
1-1	2	1	0.948823529	1903	1903
1-1	3	1	0.949117647	2008	2008
1-1	4	1	0.948823529	1924	1924
1-1	5	1	0.948823529	1882	1882
1-1	6	1	0.948823529	1924	1924
1-1	7	1	0.948823529	2029	2029
1-1	8	1	0.948823529	2050	2050
1-1	9	1	0.948823529	2029	2029
1-1	10	1	0.948823529	2029	2029
1-1	11	0	0.257647059	3000	0
1-1	12	1	0.948823529	1882	1882
1-1	13	1	0.948823529	2050	2050
1-1	14	1	0.948823529	1882	1882
1-1	15	1	0.948823529	2029	2029
1-1	16	1	0.948823529	1882	1882
1-1	17	1	0.948823529	1882	1882
1-1	18	1	0.948823529	2029	2029
1-1	19	1	0.948823529	2029	2029
1-1	20	1	0.948823529	1924	1924
1-1	21	1	0.948823529	1882	1882
1-1	22	1	0.948823529	2050	2050
1-1	23	1	0.948823529	1924	1924
1-1	24	0	0.794705882	1233	0
1-1	25	1	0.948823529	2050	2050
1-1	26	1	0.948823529	2071	2071
1-1	27	1	0.948823529	2050	2050
1-1	28	1	0.948823529	1882	1882
1-1	29	1	0.948823529	2050	2050
1-1	30	1	0.948823529	2050	2050
1-1	31	1	0.949117647	1966	1966
# score=91.15713 clears=29 attempts=32 progress=0.900827206 frames=64604
# metric=speed distance=3062.8125 units=forward_pixels
# clear_frames=1978.31034 clear_rate=0.90625
