seed	live_16m	ema_16m	live_29m	ema_29m
1001	0.146115766	0.037434411	0.066618985	0.033211776
1002	0.195112968	0.042978240	0.077746396	0.042274048
1003	0.109379550	0.037258559	0.065716389	0.028170284
1004	0.103787166	0.037731876	0.098004042	0.066355784
1005	0.171035869	0.034903602	0.085546372	0.045207690
1006	0.177445394	0.043375087	0.083207709	0.038750317
1007	0.131288616	0.044448124	0.084762832	0.049479341
1008	0.120433777	0.035126855	0.067211666	0.027618695
1009	0.135133620	0.036340896	0.057524587	0.018960099
1010	0.164939780	0.037033313	0.105621038	0.047714351
1011	0.105054630	0.044209540	0.101588917	0.040946631
1012	0.145571559	0.042320084	0.078170238	0.021631988
1013	0.124539464	0.038307446	0.079640473	0.036660798
1014	0.128148825	0.033900468	0.126699357	0.066286711
1015	0.144748717	0.046659992	0.080271448	0.039310828
1016	0.207639476	0.037386086	0.058223703	0.016259697
1017	0.118594879	0.043580173	0.098669257	0.038728048
1018	0.185834977	0.040388133	0.112951457	0.050394127
1019	0.140400112	0.039032167	0.077683454	0.035557837
1020	0.109160399	0.035858135	0.100192896	0.045999874
1021	0.103190782	0.039523920	0.049711085	0.014107852
1022	0.137954770	0.040519204	0.055768064	0.023649351
1023	0.104782184	0.034214346	0.087619936	0.047822567
1024	0.119422214	0.033845103	0.080883044	0.023750171
