seed	final_live	final_ema	oracle_best_ema	oracle_best_step
3001	0.099586293	0.047546791	0.015372983	22937600
3002	0.122326321	0.059033549	0.014552649	26214400
3003	0.081255840	0.033430340	0.013906563	27852800
3004	0.129711170	0.059025683	0.014034004	24576000
3005	0.099497839	0.052416417	0.015996553	24576000
3006	0.072992647	0.030692070	0.013844614	22937600
3007	0.084986927	0.034252721	0.013403755	22937600
3008	0.071379646	0.032611999	0.014467659	26214400
3009	0.073973338	0.038343892	0.014537503	24576000
3010	0.115093574	0.048421509	0.016133348	22937600
3011	0.070681885	0.036807116	0.015063475	26214400
3012	0.108897756	0.059990515	0.016253251	22937600
3013	0.095319653	0.044247848	0.010538485	27852800
3014	0.079121890	0.024122696	0.016219295	29491200
3015	0.106930140	0.038665693	0.017144970	22937600
3016	0.087218555	0.035181914	0.010925674	27852800
3017	0.119641707	0.056049786	0.013566421	24576000
3018	0.122834767	0.059503057	0.015257743	24576000
3019	0.091799504	0.045231035	0.016073851	24576000
3020	0.107142831	0.056286632	0.015456032	22937600
3021	0.101994771	0.041334797	0.012989387	27852800
3022	0.116344857	0.043822336	0.013161815	27852800
3023	0.104664014	0.051516106	0.020648173	21299200
3024	0.123848928	0.078692017	0.018388739	21299200
